"","Themes","Tables.Within.Themes","Column.Names","Description.of.Field","Table.Name","total_col"
"168","Theme 3 Irish Language","Table 1","T3_1YES","Yes","Population aged 3 years and over by ability to speak Irish",FALSE
"169","Theme 3 Irish Language","Table 1","T3_1NO","No","Population aged 3 years and over by ability to speak Irish",FALSE
"170","Theme 3 Irish Language","Table 1","T3_1NS","Not stated","Population aged 3 years and over by ability to speak Irish",FALSE
"171","Theme 3 Irish Language","Table 1","T3_1T","Total","Population aged 3 years and over by ability to speak Irish",TRUE
"172","Theme 3 Irish Language","Table 2","T3_2DIM","Daily only within the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"173","Theme 3 Irish Language","Table 2","T3_2DIDOM","Daily within and daily outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"174","Theme 3 Irish Language","Table 2","T3_2DIWOM","Daily within and weekly outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"175","Theme 3 Irish Language","Table 2","T3_2DILOOM","Daily within and less often outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"176","Theme 3 Irish Language","Table 2","T3_2DINOM","Daily within and never outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"177","Theme 3 Irish Language","Table 2","T3_2DOESM","Daily only outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"178","Theme 3 Irish Language","Table 2","T3_2WOESM","Weekly only outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"179","Theme 3 Irish Language","Table 2","T3_2LOOESM","Less often only outside the education system - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"180","Theme 3 Irish Language","Table 2","T3_2NOESM","Never speaks Irish - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"181","Theme 3 Irish Language","Table 2","T3_2NSM","Not stated - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"182","Theme 3 Irish Language","Table 2","T3_2ALLM","All Irish speakers - Males","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"183","Theme 3 Irish Language","Table 2","T3_2DIF","Daily only within the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"184","Theme 3 Irish Language","Table 2","T3_2DIDOF","Daily within and daily outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"185","Theme 3 Irish Language","Table 2","T3_2DIWOF","Daily within and weekly outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"186","Theme 3 Irish Language","Table 2","T3_2DILOOF","Daily within and less often outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"187","Theme 3 Irish Language","Table 2","T3_2DINOF","Daily within and never outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"188","Theme 3 Irish Language","Table 2","T3_2DOESF","Daily only outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"189","Theme 3 Irish Language","Table 2","T3_2WOESF","Weekly only outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"190","Theme 3 Irish Language","Table 2","T3_2LOOESF","Less often only outside the education system - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"191","Theme 3 Irish Language","Table 2","T3_2NOESF","Never speaks Irish - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"192","Theme 3 Irish Language","Table 2","T3_2NSF","Not stated - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"193","Theme 3 Irish Language","Table 2","T3_2ALLF","All Irish speakers - Females","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"194","Theme 3 Irish Language","Table 2","T3_2DIT","Daily only within the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"195","Theme 3 Irish Language","Table 2","T3_2DIDOT","Daily within and daily outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"196","Theme 3 Irish Language","Table 2","T3_2DIWOT","Daily within and weekly outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"197","Theme 3 Irish Language","Table 2","T3_2DILOOT","Daily within and less often outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"198","Theme 3 Irish Language","Table 2","T3_2DINOT","Daily within and never outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"199","Theme 3 Irish Language","Table 2","T3_2DOEST","Daily only outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"200","Theme 3 Irish Language","Table 2","T3_2WOEST","Weekly only outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"201","Theme 3 Irish Language","Table 2","T3_2LOOEST","Less often only outside the education system - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"202","Theme 3 Irish Language","Table 2","T3_2NOEST","Never speaks Irish - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"203","Theme 3 Irish Language","Table 2","T3_2NST","Not stated - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"204","Theme 3 Irish Language","Table 2","T3_2ALLT","All Irish speakers - Total","Irish speakers aged 3 years and over by frequency of speaking Irish",FALSE
"205","Theme 4 Families","Table 1","T4_1_2PF","2 persons (No. of families)","Families, family members and children in families, by size of family",FALSE
"206","Theme 4 Families","Table 1","T4_1_3PF","3 persons (No. of families)","Families, family members and children in families, by size of family",FALSE
"207","Theme 4 Families","Table 1","T4_1_4PF","4 persons (No. of families)","Families, family members and children in families, by size of family",FALSE
"208","Theme 4 Families","Table 1","T4_1_5PF","5 persons (No. of families)","Families, family members and children in families, by size of family",FALSE
"209","Theme 4 Families","Table 1","T4_1_GRE_6PF","6 or more persons (No. of families)","Families, family members and children in families, by size of family",FALSE
"210","Theme 4 Families","Table 1","T4_1_TF","Total (No. of families)","Families, family members and children in families, by size of family",TRUE
"211","Theme 4 Families","Table 1","T4_1_2PP","2 persons (No. of persons)","Families, family members and children in families, by size of family",FALSE
"212","Theme 4 Families","Table 1","T4_1_3PP","3 persons (No. of persons)","Families, family members and children in families, by size of family",FALSE
"213","Theme 4 Families","Table 1","T4_1_4PP","4 persons (No. of persons)","Families, family members and children in families, by size of family",FALSE
"214","Theme 4 Families","Table 1","T4_1_5PP","5 persons (No. of persons)","Families, family members and children in families, by size of family",FALSE
"215","Theme 4 Families","Table 1","T4_1_GRE_6PP","6 or more persons (No. of persons)","Families, family members and children in families, by size of family",FALSE
"216","Theme 4 Families","Table 1","T4_1_TP","Total (No. of persons)","Families, family members and children in families, by size of family",TRUE
"217","Theme 4 Families","Table 1","T4_1_2PC","2 persons (No. of children)","Families, family members and children in families, by size of family",FALSE
"218","Theme 4 Families","Table 1","T4_1_3PC","3 persons (No. of children)","Families, family members and children in families, by size of family",FALSE
"219","Theme 4 Families","Table 1","T4_1_4PC","4 persons (No. of children)","Families, family members and children in families, by size of family",FALSE
"220","Theme 4 Families","Table 1","T4_1_5PC","5 persons (No. of children)","Families, family members and children in families, by size of family",FALSE
"221","Theme 4 Families","Table 1","T4_1_GRE_6PC","6 or more persons (No. of children)","Families, family members and children in families, by size of family",FALSE
"222","Theme 4 Families","Table 1","T4_1_TC","Total (No. of children)","Families, family members and children in families, by size of family",TRUE
"223","Theme 4 Families","Table 2","T4_2_1CU15","Families with 1 child - All children aged under 15","Family units with children by size and age of children ",FALSE
"224","Theme 4 Families","Table 2","T4_2_2CU15","Families with 2 children - All children aged under 15","Family units with children by size and age of children ",FALSE
"225","Theme 4 Families","Table 2","T4_2_3CU15","Familes with 3 children - All children aged under 15","Family units with children by size and age of children ",FALSE
"226","Theme 4 Families","Table 2","T4_2_4CU15","Families with 4 children - All children aged under 15","Family units with children by size and age of children ",FALSE
"227","Theme 4 Families","Table 2","T4_2_GE5CU15","Families with 5 or more children - All children aged under 15","Family units with children by size and age of children ",FALSE
"228","Theme 4 Families","Table 2","T4_2_TCU15","Total families - All children aged under 15","Family units with children by size and age of children ",TRUE
"229","Theme 4 Families","Table 2","T4_2_1CO15","Families with 1 child - All children aged 15 and over","Family units with children by size and age of children ",FALSE
"230","Theme 4 Families","Table 2","T4_2_2CO15","Families with 2 children - All children aged 15 and over","Family units with children by size and age of children ",FALSE
"231","Theme 4 Families","Table 2","T4_2_3CO15","Familes with 3 children - All children aged 15 and over","Family units with children by size and age of children ",FALSE
"232","Theme 4 Families","Table 2","T4_2_4CO15","Families with 4 children - All children aged 15 and over","Family units with children by size and age of children ",FALSE
"233","Theme 4 Families","Table 2","T4_2_GE5CO15","Families with 5 or more children - All children aged 15 and over","Family units with children by size and age of children ",FALSE
"234","Theme 4 Families","Table 2","T4_2_TCO15","Total families - All children aged 15 and over","Family units with children by size and age of children ",TRUE
"235","Theme 4 Families","Table 2","T4_2_2CUO15","Families with 2 children - All children aged both under 15 and 15 and over","Family units with children by size and age of children ",FALSE
"236","Theme 4 Families","Table 2","T4_2_3CUO15","Familes with 3 children - All children aged both under 15 and 15 and over","Family units with children by size and age of children ",FALSE
"237","Theme 4 Families","Table 2","T4_2_4CUO15","Families with 4 children - All children aged both under 15 and 15 and over","Family units with children by size and age of children ",FALSE
"238","Theme 4 Families","Table 2","T4_2_GE5CUO15","Families with 5 or more children - All children aged both under 15 and 15 and over","Family units with children by size and age of children ",FALSE
"239","Theme 4 Families","Table 2","T4_2_TCUO15","Total families - All children aged both under 15 and 15 and over","Family units with children by size and age of children ",TRUE
"240","Theme 4 Families","Table 2","T4_2_NCT","Families without children - Total","Family units with children by size and age of children ",FALSE
"241","Theme 4 Families","Table 2","T4_2_1CT","Families with 1 child - Total","Family units with children by size and age of children ",FALSE
"242","Theme 4 Families","Table 2","T4_2_2CT","Families with 2 children - Total","Family units with children by size and age of children ",FALSE
"243","Theme 4 Families","Table 2","T4_2_3CT","Familes with 3 children - Total","Family units with children by size and age of children ",FALSE
"244","Theme 4 Families","Table 2","T4_2_4CT","Families with 4 children - Total","Family units with children by size and age of children ",FALSE
"245","Theme 4 Families","Table 2","T4_2_GE5CT","Families with 5 or more children - Total","Family units with children by size and age of children ",FALSE
"246","Theme 4 Families","Table 2","T4_2_TCT","Total families - Total","Family units with children by size and age of children ",TRUE
"247","Theme 4 Families","Table 3","T4_3FCCU15","Couples with all children aged under 15 (No. of families)","Family units with children by type of family and age of children",FALSE
"248","Theme 4 Families","Table 3","T4_3FCCO15","Couples with all children aged 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"249","Theme 4 Families","Table 3","T4_3FCCUO15","Couples with all children aged both under 15 and 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"250","Theme 4 Families","Table 3","T4_3FCCT","Total couples with children (No. of families)","Family units with children by type of family and age of children",TRUE
"251","Theme 4 Families","Table 3","T4_3FOPMCU15","One parent family (mother) with all children aged under 15 (No. of families)","Family units with children by type of family and age of children",FALSE
"252","Theme 4 Families","Table 3","T4_3FOPMCO15","One parent family (mother) with all children aged 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"253","Theme 4 Families","Table 3","T4_3FOPMCUO15","One parent family (mother) with all children aged both under 15 and 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"254","Theme 4 Families","Table 3","T4_3FOPMCT","Total one parent family (mother) with children (No. of families)","Family units with children by type of family and age of children",TRUE
"255","Theme 4 Families","Table 3","T4_3FOPFCU15","One parent family (father) with all children aged under 15 (No. of families)","Family units with children by type of family and age of children",FALSE
"256","Theme 4 Families","Table 3","T4_3FOPFCO15","One parent family (father) with all children aged 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"257","Theme 4 Families","Table 3","T4_3FOPFCUO15","One parent family (father) with all children aged both under 15 and 15 and over (No. of families)","Family units with children by type of family and age of children",FALSE
"258","Theme 4 Families","Table 3","T4_3FOPFCT","Total one parent family (father) with children (No. of families)","Family units with children by type of family and age of children",TRUE
"259","Theme 4 Families","Table 3","T4_3CCCU15","Couples with all children aged under 15 (No. of children)","Family units with children by type of family and age of children",FALSE
"260","Theme 4 Families","Table 3","T4_3CCCO15","Couples with all children aged 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"261","Theme 4 Families","Table 3","T4_3CCCUO15","Couples with all children aged both under 15 and 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"262","Theme 4 Families","Table 3","T4_3CCCT","Total couples with children (No. of children)","Family units with children by type of family and age of children",TRUE
"263","Theme 4 Families","Table 3","T4_3COPMCU15","One parent family (mother) with all children aged under 15 (No. of children)","Family units with children by type of family and age of children",FALSE
"264","Theme 4 Families","Table 3","T4_3COPMCO15","One parent family (mother) with all children aged 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"265","Theme 4 Families","Table 3","T4_3COPMCUO15","One parent family (mother) with all children aged both under 15 and 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"266","Theme 4 Families","Table 3","T4_3COPMCT","Total one parent family (mother) with children (No. of children)","Family units with children by type of family and age of children",TRUE
"267","Theme 4 Families","Table 3","T4_3COPFCU15","One parent family (father) with all children aged under 15 (No. of children)","Family units with children by type of family and age of children",FALSE
"268","Theme 4 Families","Table 3","T4_3COPFCO15","One parent family (father) with all children aged 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"269","Theme 4 Families","Table 3","T4_3COPFCUO15","One parent family (father) with all children aged both under 15 and 15 and over (No. of children)","Family units with children by type of family and age of children",FALSE
"270","Theme 4 Families","Table 3","T4_3COPFCT","Total one parent family (father) with children (No. of children)","Family units with children by type of family and age of children",TRUE
"271","Theme 4 Families","Table 4","T4_4AGE0_4F","Families with youngest child aged 0 - 4 (No. of families)","Families by age of youngest child ",FALSE
"272","Theme 4 Families","Table 4","T4_4AGE5_9F","Families with youngest child aged 5 - 9 (No. of families)","Families by age of youngest child ",FALSE
"273","Theme 4 Families","Table 4","T4_4AGE10_14F","Families with youngest child aged 10 - 14 (No. of families)","Families by age of youngest child ",FALSE
"274","Theme 4 Families","Table 4","T4_4AGE15_19F","Families with youngest child aged 15 - 19 (No. of families)","Families by age of youngest child ",FALSE
"275","Theme 4 Families","Table 4","T4_4AGE_GE20F","Families with youngest child aged 20 and over (No. of families)","Families by age of youngest child ",FALSE
"276","Theme 4 Families","Table 4","T4_4TF","Total  (No. of families)","Families by age of youngest child ",TRUE
"277","Theme 4 Families","Table 4","T4_4AGE0_4P","Families with youngest child aged 0 - 4 (No. of persons)","Families by age of youngest child ",FALSE
"278","Theme 4 Families","Table 4","T4_4AGE5_9P","Families with youngest child aged 5 - 9 (No. of persons)","Families by age of youngest child ",FALSE
"279","Theme 4 Families","Table 4","T4_4AGE10_14P","Families with youngest child aged 10 - 14 (No. of persons)","Families by age of youngest child ",FALSE
"280","Theme 4 Families","Table 4","T4_4AGE15_19P","Families with youngest child aged 15 - 19 (No. of persons)","Families by age of youngest child ",FALSE
"281","Theme 4 Families","Table 4","T4_4AGE_GE20P","Families with youngest child aged 20 and over (No. of persons)","Families by age of youngest child ",FALSE
"282","Theme 4 Families","Table 4","T4_4TP","Total  (No. of persons)","Families by age of youngest child ",TRUE
"283","Theme 4 Families","Table 5","T4_5PFF","Pre-family (No. of families)","Families by family cycle ",FALSE
"284","Theme 4 Families","Table 5","T4_5ENF","Empty nest (No. of families)","Families by family cycle ",FALSE
"285","Theme 4 Families","Table 5","T4_5RF","Retired (No. of families)","Families by family cycle ",FALSE
"286","Theme 4 Families","Table 5","T4_5PSF","Pre-school (No. of families)","Families by family cycle ",FALSE
"287","Theme 4 Families","Table 5","T4_5ESF","Early school (No. of families)","Families by family cycle ",FALSE
"288","Theme 4 Families","Table 5","T4_5PAF","Pre-adolescent (No. of families)","Families by family cycle ",FALSE
"289","Theme 4 Families","Table 5","T4_5ADOF","Adolescent (No. of families)","Families by family cycle ",FALSE
"290","Theme 4 Families","Table 5","T4_5ADUF","Adult (No. of families)","Families by family cycle ",FALSE
"291","Theme 4 Families","Table 5","T4_5TF","Total (No. of families)","Families by family cycle ",TRUE
"292","Theme 4 Families","Table 5","T4_5PFP","Pre-family (No. of persons)","Families by family cycle ",FALSE
"293","Theme 4 Families","Table 5","T4_5ENP","Empty nest (No. of persons)","Families by family cycle ",FALSE
"294","Theme 4 Families","Table 5","T4_5RP","Retired (No. of persons)","Families by family cycle ",FALSE
"295","Theme 4 Families","Table 5","T4_5PSP","Pre-school (No. of persons)","Families by family cycle ",FALSE
"296","Theme 4 Families","Table 5","T4_5ESP","Early school (No. of persons)","Families by family cycle ",FALSE
"297","Theme 4 Families","Table 5","T4_5PAP","Pre-adolescent (No. of persons)","Families by family cycle ",FALSE
"298","Theme 4 Families","Table 5","T4_5ADOP","Adolescent (No. of persons)","Families by family cycle ",FALSE
"299","Theme 4 Families","Table 5","T4_5ADUP","Adult (No. of persons)","Families by family cycle ",FALSE
"300","Theme 4 Families","Table 5","T4_5TP","Total (No. of persons)","Families by family cycle ",TRUE
"301","Theme 4 Families","Table 6","T4_6_0C","0 children born","Females aged 20 years and over by number of children born",FALSE
"302","Theme 4 Families","Table 6","T4_6_1C","1 child born","Females aged 20 years and over by number of children born",FALSE
"303","Theme 4 Families","Table 6","T4_6_2C","2 children born","Females aged 20 years and over by number of children born",FALSE
"304","Theme 4 Families","Table 6","T4_6_3C","3 children born","Females aged 20 years and over by number of children born",FALSE
"305","Theme 4 Families","Table 6","T4_6_GE4C","4 or more children born","Females aged 20 years and over by number of children born",FALSE
"306","Theme 4 Families","Table 6","T4_6T","Total","Females aged 20 years and over by number of children born",TRUE
"307","Theme 5 Private Households","Table 1","T5_1OP_H","One person households (No. of households)","Private households by type",FALSE
"308","Theme 5 Private Households","Table 1","T5_1MC_H","Married couple households (No. of households)","Private households by type",FALSE
"309","Theme 5 Private Households","Table 1","T5_1CC_H","Cohabiting couple households (No. of households)","Private households by type",FALSE
"310","Theme 5 Private Households","Table 1","T5_1MCC_H","Married couple with children households (No. of households)","Private households by type",FALSE
"311","Theme 5 Private Households","Table 1","T5_1CCC_H","Cohabiting couple with children households (No. of households)","Private households by type",FALSE
"312","Theme 5 Private Households","Table 1","T5_1OPFC_H","One parent family (father) with  children households (No. of households)","Private households by type",FALSE
"313","Theme 5 Private Households","Table 1","T5_1OPMC_H","One parent family (mother) and children households (No. of households)","Private households by type",FALSE
"314","Theme 5 Private Households","Table 1","T5_1CO_H","Couple and others households (No. of households)","Private households by type",FALSE
"315","Theme 5 Private Households","Table 1","T5_1CCO_H","Couple with children and others households (No. of households)","Private households by type",FALSE
"316","Theme 5 Private Households","Table 1","T5_1OPFCO_H","One parent family (father) with children and others households (No. of households)","Private households by type",FALSE
"317","Theme 5 Private Households","Table 1","T5_1OPMCO_H","One parent family (mother) with children and others households (No. of households)","Private households by type",FALSE
"318","Theme 5 Private Households","Table 1","T5_1GETFU_H","Two or more family units households (No. of households)","Private households by type",FALSE
"319","Theme 5 Private Households","Table 1","T5_1NHR_H","Non-family households and relations households (No. of households)","Private households by type",FALSE
"320","Theme 5 Private Households","Table 1","T5_1GENP_H","Two or more non-related persons households (No. of households)","Private households by type",FALSE
"321","Theme 5 Private Households","Table 1","T5_1T_H","Total households (No. of households)","Private households by type",TRUE
"322","Theme 5 Private Households","Table 1","T5_1OP_P","One person households (No. of persons)","Private households by type",FALSE
"323","Theme 5 Private Households","Table 1","T5_1MC_P","Married couple households (No. of persons)","Private households by type",FALSE
"324","Theme 5 Private Households","Table 1","T5_1CC_P","Cohabiting couple households (No. of persons)","Private households by type",FALSE
"325","Theme 5 Private Households","Table 1","T5_1MCC_P","Married couple with children households (No. of persons)","Private households by type",FALSE
"326","Theme 5 Private Households","Table 1","T5_1CCC_P","Cohabiting couple with children households (No. of persons)","Private households by type",FALSE
"327","Theme 5 Private Households","Table 1","T5_1OPFC_P","One parent family (father) with  children households (No. of persons)","Private households by type",FALSE
"328","Theme 5 Private Households","Table 1","T5_1OPMC_P","One parent family (mother) and children households (No. of persons)","Private households by type",FALSE
"329","Theme 5 Private Households","Table 1","T5_1CO_P","Couple and others households (No. of persons)","Private households by type",FALSE
"330","Theme 5 Private Households","Table 1","T5_1CCO_P","Couple with children and others households (No. of persons)","Private households by type",FALSE
"331","Theme 5 Private Households","Table 1","T5_1OPFCO_P","One parent family (father) with children and others households (No. of persons)","Private households by type",FALSE
"332","Theme 5 Private Households","Table 1","T5_1OPMCO_P","One parent family (mother) with children and others households (No. of persons)","Private households by type",FALSE
"333","Theme 5 Private Households","Table 1","T5_1GETFU_P","Two or more family units households (No. of persons)","Private households by type",FALSE
"334","Theme 5 Private Households","Table 1","T5_1NHR_P","Non-family households and relations households (No. of persons)","Private households by type",FALSE
"335","Theme 5 Private Households","Table 1","T5_1GENP_P","Two or more non-related persons households (No. of persons)","Private households by type",FALSE
"336","Theme 5 Private Households","Table 1","T5_1T_P","Total households (No. of persons)","Private households by type",TRUE
"337","Theme 5 Private Households","Table 2","T5_2_1PH","1 person households (No. of households)","Private households by size ",FALSE
"338","Theme 5 Private Households","Table 2","T5_2_2PH","2 person households (No. of households)","Private households by size ",FALSE
"339","Theme 5 Private Households","Table 2","T5_2_3PH","3 person households (No. of households)","Private households by size ",FALSE
"340","Theme 5 Private Households","Table 2","T5_2_4PH","4 person households (No. of households)","Private households by size ",FALSE
"341","Theme 5 Private Households","Table 2","T5_2_5PH","5 person households (No. of households)","Private households by size ",FALSE
"342","Theme 5 Private Households","Table 2","T5_2_6PH","6 person households (No. of households)","Private households by size ",FALSE
"343","Theme 5 Private Households","Table 2","T5_2_7PH","7 person households (No. of households)","Private households by size ",FALSE
"344","Theme 5 Private Households","Table 2","T5_2_GE8PH","8 or more persons households (No. of households)","Private households by size ",FALSE
"345","Theme 5 Private Households","Table 2","T5_2_TH","Total households (No. of households)","Private households by size ",TRUE
"346","Theme 5 Private Households","Table 2","T5_2_1PP","1 person households (No. of persons)","Private households by size ",FALSE
"347","Theme 5 Private Households","Table 2","T5_2_2PP","2 person households (No. of persons)","Private households by size ",FALSE
"348","Theme 5 Private Households","Table 2","T5_2_3PP","3 person households (No. of persons)","Private households by size ",FALSE
"349","Theme 5 Private Households","Table 2","T5_2_4PP","4 person households (No. of persons)","Private households by size ",FALSE
"350","Theme 5 Private Households","Table 2","T5_2_5PP","5 person households (No. of persons)","Private households by size ",FALSE
"351","Theme 5 Private Households","Table 2","T5_2_6PP","6 person households (No. of persons)","Private households by size ",FALSE
"352","Theme 5 Private Households","Table 2","T5_2_7PP","7 person households (No. of persons)","Private households by size ",FALSE
"353","Theme 5 Private Households","Table 2","T5_2_GE8PP","8 or more persons households (No. of persons)","Private households by size ",FALSE
"354","Theme 5 Private Households","Table 2","T5_2_TP","Total households (No. of persons)","Private households by size ",TRUE
"355","Theme 6 Housing","Table 1","T6_1_HB_H","House/Bungalow (No. of households)","Private households by type of accommodation ",FALSE
"356","Theme 6 Housing","Table 1","T6_1_FA_H","Flat/Apartment (No. of households)","Private households by type of accommodation ",FALSE
"357","Theme 6 Housing","Table 1","T6_1_BS_H","Bed-Sit (No. of households)","Private households by type of accommodation ",FALSE
"358","Theme 6 Housing","Table 1","T6_1_CM_H","Caravan/Mobile home (No. of households)","Private households by type of accommodation ",FALSE
"359","Theme 6 Housing","Table 1","T6_1_NS_H","Not stated (No. of households)","Private households by type of accommodation ",FALSE
"360","Theme 6 Housing","Table 1","T6_1_TH","Total (No. of households)","Private households by type of accommodation ",TRUE
"361","Theme 6 Housing","Table 1","T6_1_HB_P","House/Bungalow (No. of persons)","Private households by type of accommodation ",FALSE
"362","Theme 6 Housing","Table 1","T6_1_FA_P","Flat/Apartment (No. of persons)","Private households by type of accommodation ",FALSE
"363","Theme 6 Housing","Table 1","T6_1_BS_P","Bed-Sit (No. of persons)","Private households by type of accommodation ",FALSE
"364","Theme 6 Housing","Table 1","T6_1_CM_P","Caravan/Mobile home (No. of persons)","Private households by type of accommodation ",FALSE
"365","Theme 6 Housing","Table 1","T6_1_NS_P","Not stated (No. of persons)","Private households by type of accommodation ",FALSE
"366","Theme 6 Housing","Table 1","T6_1_TP","Total (No. of persons)","Private households by type of accommodation ",TRUE
"367","Theme 6 Housing","Table 2","T6_2_PRE19H","Pre 1919 (No. of households)","Permanent private households by year built ",FALSE
"368","Theme 6 Housing","Table 2","T6_2_19_45H","1919 - 1945 (No. of households)","Permanent private households by year built ",FALSE
"369","Theme 6 Housing","Table 2","T6_2_46_60H","1946 - 1960 (No. of households)","Permanent private households by year built ",FALSE
"370","Theme 6 Housing","Table 2","T6_2_61_70H","1961 - 1970 (No. of households)","Permanent private households by year built ",FALSE
"371","Theme 6 Housing","Table 2","T6_2_71_80H","1971 - 1980 (No. of households)","Permanent private households by year built ",FALSE
"372","Theme 6 Housing","Table 2","T6_2_81_90H","1981 - 1990 (No. of households)","Permanent private households by year built ",FALSE
"373","Theme 6 Housing","Table 2","T6_2_91_00H","1991 - 2000 (No. of households)","Permanent private households by year built ",FALSE
"374","Theme 6 Housing","Table 2","T6_2_01_10H","2001 - 2010 (No. of households)","Permanent private households by year built ",FALSE
"375","Theme 6 Housing","Table 2","T6_2_11LH","2011 or Later (No. of households)","Permanent private households by year built ",FALSE
"376","Theme 6 Housing","Table 2","T6_2_NSH","Not stated (No. of households)","Permanent private households by year built ",FALSE
"377","Theme 6 Housing","Table 2","T6_2_TH","Total (No. of households)","Permanent private households by year built ",TRUE
"378","Theme 6 Housing","Table 2","T6_2_PRE19P","Pre 1919 (No. of persons)","Permanent private households by year built ",FALSE
"379","Theme 6 Housing","Table 2","T6_2_19_45P","1919 - 1945 (No. of persons)","Permanent private households by year built ",FALSE
"380","Theme 6 Housing","Table 2","T6_2_46_60P","1946 - 1960 (No. of persons)","Permanent private households by year built ",FALSE
"381","Theme 6 Housing","Table 2","T6_2_61_70P","1961 - 1970 (No. of persons)","Permanent private households by year built ",FALSE
"382","Theme 6 Housing","Table 2","T6_2_71_80P","1971 - 1980 (No. of persons)","Permanent private households by year built ",FALSE
"383","Theme 6 Housing","Table 2","T6_2_81_90P","1981 - 1990 (No. of persons)","Permanent private households by year built ",FALSE
"384","Theme 6 Housing","Table 2","T6_2_91_00P","1991 - 2000 (No. of persons)","Permanent private households by year built ",FALSE
"385","Theme 6 Housing","Table 2","T6_2_01_10P","2001 - 2010 (No. of persons)","Permanent private households by year built ",FALSE
"386","Theme 6 Housing","Table 2","T6_2_11LP","2011 or Later (No. of persons)","Permanent private households by year built ",FALSE
"387","Theme 6 Housing","Table 2","T6_2_NSP","Not stated (No. of persons)","Permanent private households by year built ",FALSE
"388","Theme 6 Housing","Table 2","T6_2_TP","Total (No. of persons)","Permanent private households by year built ",TRUE
"389","Theme 6 Housing","Table 3","T6_3_OMLH","Owned with mortgage or loan (No. of households)","Permanent private households by type of occupancy ",FALSE
"390","Theme 6 Housing","Table 3","T6_3_OOH","Owned outright (No. of households)","Permanent private households by type of occupancy ",FALSE
"391","Theme 6 Housing","Table 3","T6_3_RPLH","Rented from private landlord (No. of households) ","Permanent private households by type of occupancy ",FALSE
"392","Theme 6 Housing","Table 3","T6_3_RLAH","Rented from Local Authority (No. of households)","Permanent private households by type of occupancy ",FALSE
"393","Theme 6 Housing","Table 3","T6_3_RVCHBH","Rented from voluntary/co-operative housing body (No. of households)","Permanent private households by type of occupancy ",FALSE
"394","Theme 6 Housing","Table 3","T6_3_OFRH","Occupied free of rent (No. of households)","Permanent private households by type of occupancy ",FALSE
"395","Theme 6 Housing","Table 3","T6_3_NSH","Not stated (No. of households)","Permanent private households by type of occupancy ",FALSE
"396","Theme 6 Housing","Table 3","T6_3_TH","Total (No. of households)","Permanent private households by type of occupancy ",TRUE
